Title,Price,Brand,RAM,Rating,Storage,Windows,Color,Processor
"STRIFF Laptop Tabletop Stand, Adjustable Laptop Computer Stand, Multi-Angle, Portable Foldable Laptop Riser Notebook Holder Compatible for 9 to 15.6 Laptops (Black)",199,STRIFF,N/A,4.2,N/A,N/A,Black,N/A
"Lenovo IdeaPad Slim 3 AMD Ryzen 7 8840HS 15.3 inch (38.8cm) WUXGA IPS AI PC Laptop(16GB RAM/512GB SSD/Windows 11/Office Home 2024/Backlit Keyboard/1Yr ADP Free/Grey/1.6Kg), 83KA0048IN","77,490",LENOVO,16GB,4.8,512GB,Windows 11,N/A,N/A
"ASUS Vivobook 14,Smartchoice,AMD Ryzen AI 5 330, 16GB RAM, 512GB SSD,FHD+ 14"", Win11,Office24, M365 Basic (1Yr)*,Quiet Blue, 1.46Kg,M1407KA-LY132WS,AMD Radeon iGPU, 50 Tops,Next-Gen AI Laptop,Copilot+","59,990",ASUS,16GB,3.3,512GB,Windows 11,Blue,N/A
"Dell 15, Intel Core i5 13th Gen-1334U Processor, 16GB DDR4, 512GB SSD, FHD, 15.6""/39.62cm, Windows 11, MSO 2024, Grey, 1.66kg, [Vostro 3530], 120Hz 250 nits, 15 Month McAfee, Thin & Light, Laptop","56,990",DELL,16GB,3.7,512GB,Windows 11,N/A,Intel Core i5
"Dell 15, Intel Core 3 14th Gen-100U, 16GB DDR4, 512GB SSD, FHD IPS, 15.6""/39.62cm, Win 11 Office H&S 2024, Carbon Black, 1.63Kg, Intel UHD Graphics, Thin & Light, Laptop Model NO - Dell 15 DCU5250","44,326",DELL,16GB,3.9,512GB,Windows 11,Black,N/A
"HP 15, AMD Ryzen 3 7320U (8GB DDR4, 512GB SSD) FHD, Anti-Glare, Micro-Edge, 15.6''/39.6cm, Win11, M365 Basic(1yr)* Office24, Silver, 1.59kg, fc0500AU, FHD Camera w/Privacy Shutter Laptop","37,490",HP,8GB,4.1,512GB,Windows 11,Silver,N/A
"Lenovo ThinkBook 16, AMD Ryzen 5 7535HS, 16GB RAM, 512GB SSD, WUXGA IPS 16"", Windows 11 Home, Office 2024, 1.7kg, 21MWA0BSIN, Backlit Keyboard, Fingerprint, 300 Nits, 1Y Warranty, Aluminium Top Laptop","58,990",LENOVO,16GB,4.0,512GB,Windows 11,N/A,N/A
"HP 14s Intel Celeron Dual Core N4500 Laptop (8GB/512GB SSD/Win 11) 14.0"" HD Display, MSO 24, Black, 1.46kg, DQ3149TU Thin and Light Business Laptop","30,490",HP,N/A,3.5,512GB,Windows 11,Black,N/A
Ienovo ThinkPad L14 | InteI Core i5 11th Gen Processor | 8GB RAM/256GB SSD | 14″ FHD Display | Win 10 | A+ Condition Laptop (Refab),"31,995",IENOVO,8GB,5.0,256GB,Windows 10,N/A,N/A
"ASUS Vivobook 15, 13th Gen, Intel Core i3-1315U, 8 GB RAM, 512GB SSD, FHD, Anti-Glare, 15.6"", 39.6 cm, Windows 11 Home, M365 Basic(1yr)* Office24, Cool Silver, 1.70 kg, X1504VA-BQ321WS, Laptop","39,900",ASUS,8GB,4.2,512GB,Windows 11,Silver,Intel Core i3-1315U
"ASUS Vivobook Go 14, AMD Ryzen 3 7320U, 8GB RAM, 512GB SSD, FHD 14"", Windows 11, Office Home 2024, Mixed Black, 1.38 kg, E1404FA-NK3325WS, AMD Radeon iGPU, M365 Basic (1Year)*, Thin & Light Laptop","33,990",ASUS,8GB,4.2,512GB,Windows 11,Black,N/A
"ThinkPad L430 Business Laptop | Core i5-3320M | 8GB RAM | 128GB SSD | Win10 Pro | 14inch | Office Ready (8, GB)","12,990",THINKPAD,8GB,1.0,128GB,Windows 10,N/A,N/A
"ASUS Zenbook 14,Intel Core Ultra 7 (Series 2), Intel Arc iGPU,32GB,1TB,3K OLED Touch Screen,14"",Windows 11,M365 Basic (1Year)*,Office 2024,Ponder Blue,1.28 kg UX3405CA-PZ163WS, Thin & Light Laptop","1,14,990",ASUS,N/A,4.1,N/A,Windows 11,Blue,N/A
"Dell SmartChoice G15-5530, Intel Core i5 13th Gen - 13450HX, NVIDIA RTX 3050-6GB, 16GB RAM, 1TB SSD, FHD 15.6""/39.62 cm, Windows 11 Home, MS Office 21, Dark Shadow Grey, 2.65Kg Gaming Laptop","77,787",DELL,16GB,4.0,1TB,Windows 11,N/A,Intel Core i5
"Lenovo V15 G4 AMD Ryzen 5 7520U 15.6 inch FHD Laptop, AMD Graphics, 16GB DDR5 5500Mhz Ram, 512GB SSD NVMe, Windows 11, Dolby Audio, Arctic Grey, 1 Year Onsite Brand Warranty","41,610",LENOVO,16GB,4.0,512GB,Windows 11,N/A,N/A
"HP Omen, 14th Gen Intel Core i9-14900HX, 8GB RTX 5060, 24GB DDR5(Upgradeable) 1TB SSD, 165Hz, 2k WUXGA, 3ms, 400 nits, 16''/40.6cm, Win11, M365* Office24, Black, 2.43kg, am0279TX, RGB, Gaming Laptop","1,64,490",HP,24GB,3.6,1TB,Windows 11,Black,Intel Core i9-14900HX
"HP Smartchoice Victus, 13th Gen Intel Core i5-13420H, 4GB RTX 3050, 16GB DDR4(Upgradeable) 512GB SSD, 144Hz, 300nits, FHD, 15.6’’/39.6cm, Win11, Office24, Blue, 2.29kg, fa2190/fa2191tx Gaming Laptop","67,990",HP,16GB,3.9,512GB,Windows 11,Blue,Intel Core i5-13420H
"HP 14, Intel Core Ultra 7 155H (24GB DDR5, 1TB SSD), Micro-Edge, Anti-Glare, FHD, 14''/35.6cm, Win11, M365* Office24, Silver, 1.4kg, ep1181TU, FHD Camera, Backlit Laptop","84,790",HP,24GB,3.0,1TB,Windows 11,Silver,N/A
"HP Omen, AMD Ryzen 9 8940HX, 8GB RTX 5070, 24GB DDR5(Upgradeable) 1TB SSD, 240Hz, 2k WUXGA, 3ms, 400 nits, 16''/40.6cm, Win11, M365* Office24, Black, 2.44kg, ap0182AX, RGB, AI Gaming Laptop","1,69,990",HP,24GB,4.2,1TB,Windows 11,Black,N/A
Thomson NEO 14.1 Inch IN-P14C Intel Celeron Dual Core N4020 Processor & Window 11 Home Notebook (4 GB RAM DDR4/ 128 GB SSD/Numeric Touch Pad/Thin & Light Weight/Silver),"12,990",THOMSON,4GB,2.2,128GB,N/A,Silver,N/A
"HP Omen 16 Max, Intel Core Ultra 9 275HX processor,16GB NVIDIA RTX 5080 Gaming AI Laptop (32GB DDR5,1TB SSD) 60-240 Hz,3Ms,IPS,WQXGA,16''/40.6Cm,Win11,M365* Office24,Black,2.68Kg,RGB Backlit, Ah0076Tx","2,87,999",HP,32GB,3.3,1TB,Windows 11,Black,N/A
"acer Nitro V 15, Intel core i7-13th Gen 13620H,NVIDIA GeForce RTX - 5050 8GB, 16 GB,512 GB,Full HD IPS,15.6""/39.62 cm,165 Hz, Win 11 Home, Obsidian Black, 2.113 kg, ANV15-52, Amber KB,Gaming Laptop","99,990",ACER,N/A,3.1,N/A,Windows 11,Black,Intel core i7-13th
"ASUS TUF A16 (2025), AMD Ryzen 7 7445HS, Gaming Laptop (RTX 4050-6GB/140W TGP/16GB RAM/1TB SSD/FHD+/16""/144Hz/56Whrs/Windows 11/M365 Basic (1Year)*/Office Home 2024/Mecha Gray/2.2Kg) FA607NUG-RL189WS","89,990",ASUS,16GB,4.1,1TB,Windows 11,Gray,N/A
"Lenovo IdeaPad Slim 3 AMD Ryzen 7 8840HS 15.3 inch (38.8cm) WUXGA IPS AI PC Laptop(16GB RAM/512GB SSD/Windows 11/Office Home 2024/Backlit Keyboard/1Yr ADP Free/Grey/1.6Kg), 83KA0048IN","77,490",LENOVO,16GB,4.8,512GB,Windows 11,N/A,N/A
"ASUS Vivobook S14,Smartchoice,AMD Ryzen AI 5 330,16GB RAM,512GB SSD,OLED,14"",Win11,Office24,M365 Basic (1Yr),Matte Gray,1.4Kg,M3407KA-SF044WS,50 Tops,Metallic Design Laptop,Next-Gen AI Laptop,Copilot+","65,990",ASUS,16GB,4.4,512GB,Windows 11,Gray,N/A
"Dell 15, Intel Core i5 13th Gen-1334U Processor, 16GB DDR4, 512GB SSD, FHD, 15.6""/39.62cm, Windows 11, MSO 2024, Grey, 1.66kg, [Vostro 3530], 120Hz 250 nits, 15 Month McAfee, Thin & Light, Laptop","56,990",DELL,16GB,3.7,512GB,Windows 11,N/A,Intel Core i5
"Dell 15, Intel Core 3 14th Gen-100U, 16GB DDR4, 512GB SSD, FHD IPS, 15.6""/39.62cm, Win 11 Office H&S 2024, Carbon Black, 1.63Kg, Intel UHD Graphics, Thin & Light, Laptop Model NO - Dell 15 DCU5250","44,326",DELL,16GB,3.9,512GB,Windows 11,Black,N/A
"ASUS TUF A16 (2025), AMD Ryzen 7 7445HS, Gaming Laptop (RTX 4050-6GB/140W TGP/16GB RAM/1TB SSD/FHD+/16""/144Hz/56Whrs/Windows 11/M365 Basic (1Year)*/Office Home 2024/Mecha Gray/2.2Kg) FA607NUG-RL189WS","89,990",ASUS,16GB,4.1,1TB,Windows 11,Gray,N/A
"acer Nitro V 15, Intel core i7-13th Gen 13620H,NVIDIA GeForce RTX - 5050 8GB, 16 GB,512 GB,Full HD IPS,15.6""/39.62 cm,165 Hz, Win 11 Home, Obsidian Black, 2.113 kg, ANV15-52, Amber KB,Gaming Laptop","99,990",ACER,N/A,3.1,N/A,Windows 11,Black,Intel core i7-13th
"HP 15 255R G10, AMD Ryzen 5 7535U Hexa Core (6 Core, 12 Threads, 2.9 to Max 4.3 Ghz) (8 GB/512 GB SSD/AMD Radeon Graphics/Windows 11) Thin and Light Laptop(15.6 inch HD Display, Matt Silver, 1.45 kg","38,990",HP,N/A,4.6,512GB,Windows 11,Silver,N/A
